央视,#genre#
东方卫视,http://39.134.67.68/PLTV/88888888/224/3221225942/index.m3u8
江苏卫视,http://39.134.67.68/PLTV/88888888/224/3221225938/index.m3u8
浙江卫视,http://39.134.67.68/PLTV/88888888/224/3221225959/index.m3u8
湖南卫视,http://39.134.67.68/PLTV/88888888/224/3221225977/index.m3u8
黑龙江卫视,http://39.134.67.68/PLTV/88888888/224/3221225985/index.m3u8
吉林卫视,http://39.134.67.68/PLTV/88888888/224/3221225981/index.m3u8
辽宁卫视,http://39.134.67.68/PLTV/88888888/224/3221226089/index.m3u8
天津卫视,http://39.134.67.68/PLTV/88888888/224/3221225972/index.m3u8
河北卫视,http://39.134.67.68/PLTV/88888888/224/3221225961/index.m3u8
河南卫视,http://39.134.67.68/PLTV/88888888/224/3221225988/index.m3u8
山东卫视,http://39.134.67.68/PLTV/88888888/224/3221225952/index.m3u8
安徽卫视,http://39.134.67.68/PLTV/88888888/224/3221225925/index.m3u8
江西卫视,http://39.134.67.68/PLTV/88888888/224/3221225935/index.m3u8
湖北卫视,http://39.134.67.68/PLTV/88888888/224/3221225975/index.m3u8
东南卫视,http://39.134.67.68/PLTV/88888888/224/3221225950/index.m3u8
广东卫视,http://39.134.67.68/PLTV/88888888/224/3221225966/index.m3u8
广西卫视,http://39.134.67.68/PLTV/88888888/224/3221226091/index.m3u8
深圳卫视,http://39.134.67.68/PLTV/88888888/224/3221225943/index.m3u8
海南卫视,http://39.134.67.68/PLTV/88888888/224/3221225978/index.m3u8
重庆卫视,http://39.134.67.68/PLTV/88888888/224/3221225963/index.m3u8
四川卫视,http://39.134.67.68/PLTV/88888888/224/3221225970/index.m3u8
贵州卫视,http://39.134.67.68/PLTV/88888888/224/3221225974/index.m3u8
北京纪实,http://39.134.67.68/PLTV/88888888/224/3221225670/index.m3u8
上海纪实,http://39.134.67.68/PLTV/88888888/224/3221225673/index.m3u8
黑龙江新闻,http://39.134.67.68/PLTV/88888888/224/3221225967/index.m3u8
黑龙江都市,http://39.134.67.68/PLTV/88888888/224/3221225969/index.m3u8
黑龙江影视,http://39.134.67.68/PLTV/88888888/224/3221225973/index.m3u8
黑龙江农业,http://39.134.67.68/PLTV/88888888/224/3221225994/index.m3u8
黑龙江文体,http://39.134.67.68/PLTV/88888888/224/3221225965/index.m3u8
黑龙江少儿,http://39.134.67.68/PLTV/88888888/224/3221225979/index.m3u8

数字,#genre#
黑莓电影,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225743/index.m3u8
黑莓动画,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225662/index.m3u8
哒啵赛事,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225675/index.m3u8
热播精选,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225671/index.m3u8
精品综合,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225664/index.m3u8
动作电影,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225661/index.m3u8
爱情喜剧,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225669/index.m3u8
惊悚悬疑,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225665/index.m3u8
精品大剧,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225670/index.m3u8
家庭剧场,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225677/index.m3u8
古装剧场,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225663/index.m3u8
军旅剧场,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225676/index.m3u8
